Service,Path,Apps/Components
educationalContentService,src/services/educationalContentService.tsx,"archived/flows/v6/AdvancedParametersV6.tsx; archived/flows/v6/OAuth2ResourceOwnerPasswordFlowV6.tsx; archived/flows/v6/OAuthAuthorizationCodeFlowV6.tsx; archived/flows/v6/OAuthAuthorizationCodeFlowV6_BROKEN.tsx; archived/flows/v6/OIDCAuthorizationCodeFlowV6.tsx; archived/flows/v6/OIDCHybridFlowV6.tsx; archived/flows/v6/PingOneMFAFlowV6_Clean.tsx; archived/flows/v6/PingOnePARFlowV6_New.tsx; archived/flows/v6/RARFlowV6_New.tsx; archived/flows/v6/RedirectlessFlowV6_Real.tsx; archived/flows/v6/SAMLBearerAssertionFlowV6.tsx; src/pages/flows/AdvancedOAuthParametersDemoFlow.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_BACKUP_20251016_083921.tsx; src/pages/flows/OAuthROPCFlowV7.tsx; src/pages/flows/RedirectlessFlowV7_Real.tsx"
enhancedApiCallDisplayService,src/services/enhancedApiCallDisplayService.ts,"archived/flows/v6/CIBAFlowV6.tsx; archived/flows/v6/ClientCredentialsFlowV6.tsx; archived/flows/v6/DeviceAuthorizationFlowV6.tsx; archived/flows/v6/OAuthAuthorizationCodeFlowV6.tsx; archived/flows/v6/OAuthAuthorizationCodeFlowV6_BROKEN.tsx; archived/flows/v6/OAuthImplicitFlowV6.tsx; archived/flows/v6/OIDCAuthorizationCodeFlowV6.tsx; archived/flows/v6/OIDCImplicitFlowV6_Full.tsx; archived/flows/v6/PingOnePARFlowV6.tsx; archived/flows/v6/PingOnePARFlowV6_New.tsx; archived/flows/v6/RARFlowV6.tsx; archived/flows/v6/RARFlowV6_New.tsx; archived/flows/v6/RedirectlessFlowV6_Real.tsx; archived/v5-flows/ClientCredentialsFlowV5_New.tsx; archived/v5-flows/RARFlowV5.tsx; src/components/ApiCallList.tsx; src/components/CompleteMFAFlowV7.tsx; src/components/EnhancedApiCallDisplay.tsx; src/pages/flows/DeviceAuthorizationFlowV7.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_2.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_BACKUP_20251016_083921.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_Hybrid.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_PAR_Backup.tsx; src/pages/flows/RedirectlessFlowV7_Real.tsx; src/pages/flows/TokenExchangeFlowV7.tsx; src/services/enhancedApiCallDisplayService.ts; src/services/serviceDiscoveryService.ts; src/services/tokenIntrospectionService.ts; src/v8/components/ApiCallDisplayV8.tsx; src/v8m/pages/V8MTokenExchange.tsx"
enhancedConfigurationService,src/services/enhancedConfigurationService.ts,"src/components/ConfigurationManager.tsx; src/components/newFeaturesDemo.tsx; src/pages/ConfigurationManagerPage.tsx; src/services/configurationManagerCLI.js; src/services/enhancedConfigurationService.ts"
enhancedPingOneMfaService,src/services/enhancedPingOneMfaService.ts,"src/components/mfa/MFADeviceManager.tsx; src/hooks/useMFADevices.ts"
environmentIdPersistenceService,src/services/environmentIdPersistenceService.ts,"mfa-unified-modernization-plan.md; src/components/EnvironmentIdPersistenceStatus.tsx; src/locked/email-v8/dependencies/components/EnvironmentIdPersistenceStatus.tsx; src/locked/email-v8/dependencies/services/commonImportsService.ts; src/locked/email-v8/dependencies/services/comprehensiveCredentialsService.tsx; src/locked/email-v8/dependencies/services/environmentIdPersistenceService.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/components/EnvironmentIdPersistenceStatus.tsx; src/locked/fido2-v8/dependencies/services/commonImportsService.ts; src/locked/fido2-v8/dependencies/services/comprehensiveCredentialsService.tsx; src/locked/fido2-v8/dependencies/services/environmentIdPersistenceService.ts; src/locked/fido2-v8/manifest.json; src/services/commonImportsService.ts; src/services/comprehensiveCredentialsService.tsx; src/services/environmentIdPersistenceService.ts; src/v8/services/globalEnvironmentService.ts"
environmentService,src/services/environmentService.ts,"src/services/environmentService.ts; src/v8/components/WorkerTokenModalV8.tsx; src/v8/flows/MFAAuthenticationMainPageV8.tsx"
errorHandlingService.demo,src/services/errorHandlingService.demo.ts,"src/services/errorHandlingService.demo.ts"
errorHandlingService,src/services/errorHandlingService.ts,"archived/flows/v6/ClientCredentialsFlowV6.tsx; src/components/ErrorBoundary.tsx; src/services/__tests__/errorHandlingService.test.ts; src/services/authErrorRecoveryService.ts; src/services/errorHandlingService.demo.ts; src/services/errorHandlingService.ts; src/services/serviceDiscoveryService.ts"
errorRecoveryService,src/services/errorRecoveryService.ts,"src/services/errorRecoveryService.ts"
exportImportService,src/services/exportImportService.ts,"src/components/ExportImportPanel.tsx; src/services/exportImportService.ts; src/utils/testExportImport.ts"
fido2Service,src/services/fido2Service.ts,"src/components/FIDO2RegistrationModal.tsx; src/locked/fido2-v8/dependencies/services/fido2Service.ts; src/locked/fido2-v8/dependencies/v8/services/webAuthnAuthenticationServiceV8.ts; src/locked/fido2-v8/feature/types/FIDO2ConfigurationPageV8.tsx; src/locked/fido2-v8/feature/types/FIDO2FlowV8.tsx; src/locked/fido2-v8/manifest.json; src/services/fido2Service.ts; src/v8/flows/types/FIDO2ConfigurationPageV8.tsx; src/v8/flows/types/FIDO2FlowV8.tsx; src/v8/lockdown/fido2/snapshot/FIDO2ConfigurationPageV8.tsx; src/v8/lockdown/fido2/snapshot/FIDO2FlowV8.tsx; src/v8/services/passkeyServiceV8.ts; src/v8/services/webAuthnAuthenticationServiceV8.ts"
fidoService,src/services/fidoService.ts,"src/services/fidoService.ts"
fieldEditingService,src/services/fieldEditingService.ts,"src/App.tsx; src/services/fieldEditingService.ts"
fieldRulesService,src/services/fieldRulesService.ts,"src/services/fieldRulesService.ts"
flowAnalyticsService,src/services/flowAnalyticsService.ts,"archived/v5-flows/OAuthImplicitFlowV5_1.tsx; src/services/flowAnalyticsService.ts; src/services/flowFactory.ts"
flowCardsService,src/services/flowCardsService.tsx,""
flowCompletionService,src/services/flowCompletionService.tsx,"archived/flows/v6/ClientCredentialsFlowV6.tsx; archived/flows/v6/JWTBearerTokenFlowV6.tsx; archived/flows/v6/OIDCAuthorizationCodeFlowV6.tsx; archived/flows/v6/OIDCDeviceAuthorizationFlowV6.tsx; archived/flows/v6/OIDCHybridFlowV6.tsx; archived/flows/v6/OIDCImplicitFlowV6_Full.tsx; archived/flows/v6/PingOnePARFlowV6_New.tsx; archived/flows/v6/RARFlowV6_New.tsx; archived/flows/v6/RedirectlessFlowV6_Real.tsx; archived/flows/v6/SAMLBearerAssertionFlowV6.tsx; archived/v5-flows/OIDCHybridFlowV5.tsx; src/pages/flows/ImplicitFlowV7.tsx; src/pages/flows/JWTBearerTokenFlowV7.tsx; src/pages/flows/OIDCHybridFlowV7.tsx; src/pages/flows/PingOnePARFlowV7.tsx; src/pages/flows/RARFlowV7.tsx; src/pages/flows/RedirectlessFlowV7_Real.tsx; src/pages/flows/SAMLBearerAssertionFlowV7.tsx; src/pages/flows/SAMLServiceProviderFlowV1.tsx; src/services/flowCompletionService.tsx"
flowComponentService,src/services/flowComponentService.tsx,"archived/v5-flows/OAuthImplicitFlowV5_1.tsx; src/pages/flows/OAuth2AuthorizationCodeFlow.tsx; src/services/flowComponentService.tsx"
flowConfigService,src/services/flowConfigService.ts,"archived/v5-flows/OAuthImplicitFlowV5_1.tsx; src/locked/email-v8/dependencies/services/commonImportsService.ts; src/locked/email-v8/dependencies/services/flowConfigService.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/services/commonImportsService.ts; src/locked/fido2-v8/dependencies/services/flowConfigService.ts; src/locked/fido2-v8/manifest.json; src/services/commonImportsService.ts; src/services/flowConfigService.ts; src/services/flowFactory.ts"
flowConfigurationService,src/services/flowConfigurationService.ts,"archived/flows/v6/OAuthImplicitFlowV6.tsx; archived/flows/v6/OIDCImplicitFlowV6_Full.tsx; src/services/flowConfigurationService.ts"
flowContextService,src/services/flowContextService.ts,"ARCHITECTURE_DIAGRAM.md; CODE_ANALYSIS_REPORT_2025.md; src/components/FlowContextDemo.tsx; src/examples/OAuthFlowWithRedirectStateManager.tsx; src/locked/email-v8/dependencies/services/flowContextService.ts; src/locked/email-v8/dependencies/services/flowContextUtils.ts; src/locked/email-v8/dependencies/services/redirectStateManager.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/services/flowContextService.ts; src/locked/fido2-v8/dependencies/services/flowContextUtils.ts; src/locked/fido2-v8/dependencies/services/redirectStateManager.ts; src/locked/fido2-v8/manifest.json; src/locked/mfa-hub-v8/dependencies/services/flowContextService.ts; src/locked/mfa-hub-v8/dependencies/services/flowContextUtils.ts; src/locked/mfa-hub-v8/dependencies/services/redirectStateManager.ts; src/locked/mfa-hub-v8/manifest.json; src/services/__tests__/flowContextService.test.ts; src/services/__tests__/redirectStateManager.test.ts; src/services/flowContext/index.ts; src/services/flowContextService.ts; src/services/flowContextUtils.ts; src/services/redirectStateManager.ts"
flowContextUtils,src/services/flowContextUtils.ts,"src/components/FlowContextDemo.tsx; src/contexts/NewAuthContext.tsx; src/contexts/__tests__/NewAuthContext.enhanced.test.tsx; src/hooks/useAuthActions.ts; src/locked/email-v8/dependencies/services/flowContextUtils.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/contexts/NewAuthContext.tsx; src/locked/fido2-v8/dependencies/services/flowContextUtils.ts; src/locked/fido2-v8/manifest.json; src/locked/mfa-hub-v8/dependencies/services/flowContextUtils.ts; src/locked/mfa-hub-v8/manifest.json; src/services/flowContext/index.ts; src/services/flowContextUtils.ts"
flowControllerService,src/services/flowControllerService.ts,"archived/v5-flows/OAuthImplicitFlowV5_1.tsx; src/services/flowControllerService.ts; src/services/flowFactory.ts"
flowCopyService,src/services/flowCopyService.ts,"src/services/flowCopyService.ts"
flowCredentialIsolationService,src/services/flowCredentialIsolationService.ts,"src/locked/email-v8/dependencies/services/flowCredentialIsolationService.ts; src/locked/email-v8/dependencies/services/flowCredentialService.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/services/flowCredentialIsolationService.ts; src/locked/fido2-v8/dependencies/services/flowCredentialService.ts; src/locked/fido2-v8/manifest.json; src/locked/mfa-hub-v8/dependencies/services/flowCredentialIsolationService.ts; src/locked/mfa-hub-v8/dependencies/services/flowCredentialService.ts; src/locked/mfa-hub-v8/manifest.json; src/services/flowCredentialIsolationService.ts; src/services/flowCredentialService.ts"
flowCredentialService,src/services/flowCredentialService.ts,"archived/flows/v6/JWTBearerTokenFlowV6.tsx; archived/flows/v6/OAuthAuthorizationCodeFlowV6.tsx; archived/flows/v6/OAuthAuthorizationCodeFlowV6_BROKEN.tsx; archived/flows/v6/OIDCAuthorizationCodeFlowV6.tsx; src/components/CredentialSetupModal.tsx; src/contexts/NewAuthContext.tsx; src/hooks/useAuthActions.ts; src/hooks/useAuthorizationCodeFlowController.ts; src/hooks/useAuthorizationCodeFlowController_PAR_Backup.ts; src/hooks/useAuthorizationCodeFlowV7Controller.ts; src/hooks/useClientCredentialsFlowController.ts; src/hooks/useCredentialSync.ts; src/hooks/useHybridFlowController.ts; src/hooks/useSamlSpFlowController.ts; src/hooks/useWorkerTokenFlowController.ts; src/locked/email-v8/dependencies/services/commonImportsService.ts; src/locked/email-v8/dependencies/services/flowCredentialService.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/contexts/NewAuthContext.tsx; src/locked/fido2-v8/dependencies/services/commonImportsService.ts; src/locked/fido2-v8/dependencies/services/flowCredentialService.ts; src/locked/fido2-v8/manifest.json; src/locked/mfa-hub-v8/dependencies/services/flowCredentialService.ts; src/locked/mfa-hub-v8/manifest.json; src/pages/Configuration_original.tsx; src/pages/OrganizationLicensing_V2.tsx; src/pages/flows/ClientCredentialsFlowV7_Complete.tsx; src/pages/flows/DeviceAuthorizationFlowV7.tsx; src/pages/flows/ImplicitFlowV7.tsx; src/pages/flows/JWTBearerTokenFlowV7.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_1/useAuthorizationCodeFlowController.ts; src/pages/flows/OAuthAuthorizationCodeFlowV7_2.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_BACKUP_20251016_083921.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_Hybrid.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_PAR_Backup.tsx; src/pages/flows/OIDCHybridFlowV7.tsx; src/pages/flows/RARFlowV7.tsx; src/services/authConfigurationService.ts; src/services/commonImportsService.ts; src/services/credentialSyncService.ts; src/services/flowCredentialService.ts; src/services/serviceRegistryIntegration.ts"
flowErrorService,src/services/flowErrorService.tsx,"src/components/FlowErrorBoundary.tsx; src/components/callbacks/AuthzCallback.tsx; src/components/callbacks/ImplicitCallback.tsx; src/services/flowErrorService.tsx"
flowFactory,src/services/flowFactory.ts,"src/services/flowFactory.ts"
flowHeaderService,src/services/flowHeaderService.tsx,".vscode/settings.json; AI Ping/src/pages/AIGlossary.tsx; AI Ping/src/pages/AIIdentityArchitectures.tsx; archived/flows/v6/AdvancedParametersV6.tsx; archived/flows/v6/CIBAFlowV6.tsx; archived/flows/v6/ClientCredentialsFlowV6.tsx; archived/flows/v6/DeviceAuthorizationFlowV6.tsx; archived/flows/v6/JWTBearerTokenFlowV6.tsx; archived/flows/v6/OAuth2ResourceOwnerPasswordFlowV6.tsx; archived/flows/v6/OAuthAuthorizationCodeFlowV6.tsx; archived/flows/v6/OAuthAuthorizationCodeFlowV6_BROKEN.tsx; archived/flows/v6/OAuthImplicitFlowV6.tsx; archived/flows/v6/OIDCAuthorizationCodeFlowV6.tsx; archived/flows/v6/OIDCDeviceAuthorizationFlowV6.tsx; archived/flows/v6/OIDCHybridFlowV6.tsx; archived/flows/v6/OIDCImplicitFlowV6_Full.tsx; archived/flows/v6/PingOneMFAFlowV6_Clean.tsx; archived/flows/v6/PingOnePARFlowV6.tsx; archived/flows/v6/PingOnePARFlowV6_New.tsx; archived/flows/v6/RARFlowV6.tsx; archived/flows/v6/RARFlowV6_New.tsx; archived/flows/v6/RedirectlessFlowV6_Real.tsx; archived/flows/v6/SAMLBearerAssertionFlowV6.tsx; archived/v5-flows/ClientCredentialsFlowV5_New.tsx; archived/v5-flows/JWTBearerTokenFlowV5.tsx; archived/v5-flows/OAuthImplicitFlowV5_1.tsx; archived/v5-flows/OAuthResourceOwnerPasswordFlowV5.tsx; archived/v5-flows/OIDCHybridFlowV5.tsx; archived/v5-flows/OIDCResourceOwnerPasswordFlowV5.tsx; archived/v5-flows/PingOneMFAFlowV5.tsx; archived/v5-flows/RARFlowV5.tsx; archived/v5-flows/RedirectlessFlowV5.tsx; archived/v5-flows/RedirectlessFlowV5_Mock.tsx; archived/v5-flows/TokenIntrospectionFlowV5.tsx; archived/v5-flows/TokenRevocationFlowV5.tsx; archived/v5-flows/UserInfoFlowV5.tsx; src/components/CodeExamplesDemo.tsx; src/components/CompleteMFAFlowV7.tsx; src/components/DynamicHeaderExample.tsx; src/components/FlowHeaderDemo.tsx; src/pages/AIGlossary.tsx; src/pages/AIIdentityArchitectures.tsx; src/pages/ApplicationGenerator.tsx; src/pages/AutoDiscover.tsx; src/pages/CIBAvsDeviceAuthz.tsx; src/pages/ClientGenerator.tsx; src/pages/ComprehensiveOAuthEducation.tsx; src/pages/Configuration.tsx; src/pages/Configuration_backup.tsx; src/pages/Configuration_original.tsx; src/pages/CredentialManagement.tsx; src/pages/EmergingAIStandards.tsx; src/pages/EnvironmentIdInputDemo.tsx; src/pages/JWKSTroubleshooting.tsx; src/pages/OIDC.tsx; src/pages/OrganizationLicensing_V2.tsx; src/pages/PingOneAuthentication.tsx; src/pages/URLDecoder.tsx; src/pages/flows/AdvancedOAuthParametersDemoFlow.tsx; src/pages/flows/CIBAFlowV7.tsx; src/pages/flows/DPoPFlow.tsx; src/pages/flows/DeviceAuthorizationFlowV7.tsx; src/pages/flows/ImplicitFlowV7.tsx; src/pages/flows/JWTBearerFlow.tsx; src/pages/flows/JWTBearerTokenFlowV7.tsx; src/pages/flows/KrogerGroceryStoreMFA_New.tsx; src/pages/flows/OAuth2ResourceOwnerPasswordFlow.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_2.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_BACKUP_20251016_083921.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_Hybrid.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_PAR_Backup.tsx; src/pages/flows/OAuthROPCFlowV7.tsx; src/pages/flows/OIDCHybridFlowV7.tsx; src/pages/flows/PingOneMFAWorkflowLibraryV7.tsx; src/pages/flows/PingOnePARFlowV7.tsx; src/pages/flows/RARFlowV7.tsx; src/pages/flows/RedirectlessFlowV7_Real.tsx; src/pages/flows/SAMLBearerAssertionFlowV7.tsx; src/pages/flows/SAMLServiceProviderFlowV1.tsx; src/pages/flows/UserInfoFlow.tsx; src/pages/flows/WorkerTokenFlowV7.tsx; src/pages/learn/ResponseModesLearnPage.tsx; src/services/flowHeaderService.tsx; src/templates/V7FlowTemplate.tsx"
flowLayoutService,src/services/flowLayoutService.ts,"archived/flows/v6/OAuthImplicitFlowV6.tsx; archived/flows/v6/OIDCImplicitFlowV6_Full.tsx; archived/v5-flows/OAuthImplicitFlowV5_1.tsx; src/services/flowLayoutService.ts"
flowLayoutServicex,src/services/flowLayoutService.tsx,""
flowLogService,src/services/flowLogService.ts,"src/services/flowLogService.ts"
flowRedirectUriService,src/services/flowRedirectUriService.ts,"archived/flows/v6/OAuthImplicitFlowV6.tsx; archived/flows/v6/OIDCImplicitFlowV6_Full.tsx; src/locked/email-v8/dependencies/services/comprehensiveCredentialsService.tsx; src/locked/email-v8/dependencies/services/flowRedirectUriService.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/services/comprehensiveCredentialsService.tsx; src/locked/fido2-v8/dependencies/services/flowRedirectUriService.ts; src/locked/fido2-v8/manifest.json; src/pages/flows/OAuthAuthorizationCodeFlowV7_1/authorizationCodeSharedService.ts; src/services/authorizationCodeSharedService.ts; src/services/comprehensiveCredentialsService.tsx; src/services/flowConfigurationService.ts; src/services/flowRedirectUriService.ts; src/services/hybridFlowSharedService.ts; src/services/implicitFlowSharedService.ts"
flowScopeMappingService,src/services/flowScopeMappingService.ts,"src/locked/email-v8/dependencies/services/commonImportsService.ts; src/locked/email-v8/dependencies/services/comprehensiveCredentialsService.tsx; src/locked/email-v8/dependencies/services/flowScopeMappingService.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/services/commonImportsService.ts; src/locked/fido2-v8/dependencies/services/comprehensiveCredentialsService.tsx; src/locked/fido2-v8/dependencies/services/flowScopeMappingService.ts; src/locked/fido2-v8/manifest.json; src/services/authorizationUrlValidationService.ts; src/services/commonImportsService.ts; src/services/comprehensiveCredentialsService.tsx; src/services/flowScopeMappingService.ts; src/services/scopeValidationService.ts"
flowSequenceService,src/services/flowSequenceService.ts,"archived/flows/v6/OIDCAuthorizationCodeFlowV6.tsx; archived/flows/v6/PingOnePARFlowV6_New.tsx; archived/flows/v6/RARFlowV6_New.tsx; src/components/FlowSequenceDisplay.tsx; src/locked/unified-flow-v8u/dependencies/components/FlowSequenceDisplay.tsx; src/locked/unified-flow-v8u/dependencies/services/flowSequenceService.ts; src/locked/unified-flow-v8u/manifest.json; src/services/flowSequenceService.ts"
flowService,src/services/flowService.tsx,"src/services/__tests__/serviceRegistry.integration.test.ts"
flowStateService,src/services/flowStateService.ts,"archived/v5-flows/OAuthImplicitFlowV5_1.tsx; src/locked/email-v8/dependencies/services/commonImportsService.ts; src/locked/email-v8/dependencies/services/flowStateService.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/services/commonImportsService.ts; src/locked/fido2-v8/dependencies/services/flowStateService.ts; src/locked/fido2-v8/manifest.json; src/pages/flows/config/OAuthAuthzCodeFlowV6.config.ts; src/pages/flows/config/OAuthAuthzCodeFlowV7.config.ts; src/pages/flows/config/OAuthAuthzCodeFlowV8.config.ts; src/pages/flows/config/OAuthImplicitFlow.config.ts; src/pages/flows/config/OIDCHybridFlowV7.config.ts; src/pages/flows/config/OIDCImplicitFlow.config.ts; src/pages/flows/config/PingOnePARFlow.config.ts; src/pages/flows/config/RARFlow.config.ts; src/pages/flows/config/RedirectlessFlow.config.ts; src/services/commonImportsService.ts; src/services/flowFactory.ts; src/services/flowStateService.ts"
flowStatusManagementService,src/services/flowStatusManagementService.ts,"CODE_METRICS_REPORT.md; src/services/flowStatusManagementService.ts"
flowStatusService,src/services/flowStatusService.tsx,"src/components/FlowStatusDemo.tsx; src/services/flowStatusService.tsx"
flowStepDefinitions,src/services/flowStepDefinitions.ts,"src/components/FlowErrorBoundary.tsx; src/components/FlowErrorDisplay.tsx; src/services/flowErrorService.tsx; src/services/flowStepDefinitions.ts"
flowStepLayoutService,src/services/flowStepLayoutService.tsx,"src/services/flowStepLayoutService.tsx"
flowStepNavigationService,src/services/flowStepNavigationService.ts,"archived/flows/v6/OAuthImplicitFlowV6.tsx; archived/flows/v6/OIDCImplicitFlowV6_Full.tsx; src/services/flowStepNavigationService.ts"
flowStepService,src/services/flowStepService.ts,"archived/v5-flows/OIDCHybridFlowV5.tsx; src/services/flowFactory.ts; src/services/flowStepService.ts"
flowStorageService,src/services/flowStorageService.ts,"archived/flows/v6/AdvancedParametersV6.tsx; archived/flows/v6/OAuthAuthorizationCodeFlowV6.tsx; archived/flows/v6/OAuthAuthorizationCodeFlowV6_BROKEN.tsx; archived/flows/v6/PingOnePARFlowV6.tsx; archived/flows/v6/PingOnePARFlowV6_New.tsx; archived/flows/v6/RARFlowV6.tsx; archived/flows/v6/RARFlowV6_New.tsx; archived/flows/v6/RedirectlessFlowV6_Real.tsx; archived/v5-flows/RARFlowV5.tsx; src/locked/email-v8/dependencies/services/flowStorageService.ts; src/locked/email-v8/manifest.json; src/locked/fido2-v8/dependencies/services/flowStorageService.ts; src/locked/fido2-v8/manifest.json; src/locked/mfa-hub-v8/dependencies/services/flowStorageService.ts; src/locked/mfa-hub-v8/manifest.json; src/pages/flows/OAuthAuthorizationCodeFlowV7.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_2.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_BACKUP_20251016_083921.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_Hybrid.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_PAR_Backup.tsx; src/pages/flows/RedirectlessFlowV7_Real.tsx; src/services/flowStorageService.ts"
flowTemplateService,src/services/flowTemplateService.ts,""
flowThemeService,src/services/flowThemeService.ts,"src/services/flowThemeService.ts"
flowTrackingService,src/services/flowTrackingService.ts,"src/components/FlowTrackingDisplay.tsx; src/hooks/useAuthorizationCodeFlowController.ts; src/services/flowTrackingService.ts"
flowUIComponentsService,src/services/flowUIComponentsService.tsx,"src/pages/flows/KrogerGroceryStoreMFA_New.tsx; src/services/flowUIComponentsService.tsx"
flowUIService,src/services/flowUIService.tsx,"AI Ping/src/pages/PingAIResources.tsx; archived/flows/v6/JWTBearerTokenFlowV6.tsx; archived/flows/v6/OAuthImplicitFlowV6.tsx; archived/flows/v6/OIDCImplicitFlowV6_Full.tsx; scripts/list-flows-to-migrate.js; src/components/CompleteMFAFlowV7.tsx; src/examples/V7ServicesIntegrationExample.tsx; src/pages/CompetitiveAnalysis.tsx; src/pages/PingAIResources.tsx; src/pages/flows/CIBAFlowV7.tsx; src/pages/flows/ClientCredentialsFlowV7_Complete.tsx; src/pages/flows/ClientCredentialsFlowV7_Simple.tsx; src/pages/flows/DeviceAuthorizationFlowV7.tsx; src/pages/flows/ExampleV7Flow.tsx; src/pages/flows/ImplicitFlowV7.tsx; src/pages/flows/JWTBearerTokenFlowV7.tsx; src/pages/flows/MFALoginHintFlowV7.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7.tsx; src/pages/flows/OAuthAuthorizationCodeFlowV7_2.tsx; src/pages/flows/OAuthROPCFlowV7.tsx; src/pages/flows/OIDCHybridFlowV7.tsx; src/pages/flows/PARFlowV7.tsx; src/pages/flows/PingOneMFAWorkflowLibraryV7.tsx; src/pages/flows/PingOnePARFlowV7.tsx; src/pages/flows/RARFlowV7.tsx; src/pages/flows/RedirectlessFlowV7_Real.tsx; src/pages/flows/SAMLBearerAssertionFlowV7.tsx; src/pages/flows/TokenExchangeFlowV7.tsx; src/services/__tests__/flowUIService.test.tsx; src/services/flowUIService.tsx; src/templates/V7FlowTemplate.tsx; src/templates/V7FlowVariants.tsx; src/v8m/pages/V8MTokenExchange.tsx"
flowUriEducationService,src/services/flowUriEducationService.ts,"src/components/FlowUriEducationModal.tsx; src/services/flowUriEducationService.ts"
flowValidationService,src/services/flowValidationService.ts,"src/services/flowValidationService.ts"
footerService,src/services/footerService.tsx,"src/services/footerService.tsx"
globalEnvironmentService,src/services/globalEnvironmentService.ts,"MFA-MODERNIZATION-COMPLETE.md; PHASE-1-COMPLETE.md; mfa-unified-modernization-plan.md; src/services/globalEnvironmentService.ts; src/v8/contexts/GlobalMFAContext.tsx; src/v8/flows/unified/UnifiedMFARegistrationFlowV8.tsx; src/v8/flows/unified/services/unifiedFlowServiceIntegration.ts; src/v8/pages/DeleteAllDevicesUtilityV8.tsx; src/v8/services/globalEnvironmentService.ts"
helpService,src/services/helpService.ts,"src/services/helpService.ts"
hybridFlowSharedService,src/services/hybridFlowSharedService.ts,"archived/flows/v6/OIDCHybridFlowV6.tsx; src/hooks/useHybridFlowController.ts; src/pages/flows/OIDCHybridFlowV7.tsx; src/services/hybridFlowSharedService.ts"
implicitFlowComplianceService,src/services/implicitFlowComplianceService.ts,"src/hooks/useOAuth2CompliantImplicitFlow.ts; src/services/implicitFlowComplianceService.ts"
implicitFlowSharedService,src/services/implicitFlowSharedService.ts,"archived/flows/v6/OAuthImplicitFlowV6.tsx; archived/flows/v6/OIDCImplicitFlowV6_Full.tsx; src/hooks/useImplicitFlowController.ts; src/pages/flows/ImplicitFlowV7.tsx; src/services/implicitFlowSharedService.ts"
infoComponentsService,src/services/infoComponentsService.tsx,""
interactiveFlowDiagramService,src/services/interactiveFlowDiagramService.tsx,"src/pages/InteractiveFlowDiagram.tsx; src/services/interactiveFlowDiagramService.tsx"
jwksService,src/services/jwksService.ts,"resources/data/semgrep-report.json; scripts/maintenance/fix-services-syntax-errors.js; scripts/maintenance/fix-syntax-errors.js; src/components/JWKSViewer.tsx; src/services/jwksService.ts"
jwtAuthService,src/services/jwtAuthService.ts,"resources/data/semgrep-report.json; scripts/maintenance/fix-services-syntax-errors.js; scripts/maintenance/fix-syntax-errors.js; src/components/JWTAuthConfig.tsx; src/components/JWTConfigV8.tsx; src/locked/unified-flow-v8u/dependencies/components/JWTConfigV8.tsx; src/locked/unified-flow-v8u/dependencies/services/jwtAuthServiceV8.ts; src/locked/unified-flow-v8u/manifest.json; src/services/jwtAuthService.ts; src/services/jwtAuthServiceV8.ts"
jwtAuthServiceV8,src/services/jwtAuthServiceV8.ts,"src/components/JWTConfigV8.tsx; src/locked/unified-flow-v8u/dependencies/components/JWTConfigV8.tsx; src/locked/unified-flow-v8u/dependencies/services/jwtAuthServiceV8.ts; src/locked/unified-flow-v8u/manifest.json; src/services/jwtAuthServiceV8.ts"
keyStorageService,src/services/keyStorageService.ts,"src/services/keyStorageService.ts"
loggingService,src/services/loggingService.ts,"src/components/LogViewer.tsx; src/services/loggingService.ts; src/utils/consoleMigrationHelper.ts"
